time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1670164176,1929174.69,1.929243E+07,1929174.69,243991.31,2.440000E+06,243991.31
1670164186,1098617.58,3.027837E+07,1513908.00,139003.00,3.830000E+06,191498.65
1670164196,467035.01,3.495003E+07,1164886.73,58983.46,4.420000E+06,147318.87
1670164206,110410.48,3.605384E+07,901340.58,14003.79,4.560000E+06,113999.32
1670164216,506976.59,4.112376E+07,822466.21,63998.02,5.200000E+06,103998.86
1670164226,679445.58,4.791825E+07,798629.56,85999.60,6.060000E+06,100999.00
1670164236,1201289.88,5.993468E+07,856166.49,151955.27,7.580000E+06,108280.24
1670164246,451307.18,6.444645E+07,805574.13,57016.50,8.150000E+06,101874.18
1670164256,150332.66,6.594970E+07,732773.42,19000.99,8.340000E+06,92666.54
1670164266,150827.24,6.745812E+07,674573.65,18998.10,8.530000E+06,85299.04
1670164276,94804.84,6.840613E+07,621870.12,12000.55,8.650000E+06,78635.89
1670164286,1303124.83,8.143744E+07,678641.31,164999.13,1.030000E+07,85832.82
1670164296,971689.37,9.115448E+07,701183.65,122998.19,1.153000E+07,88691.72
1670164306,269177.64,9.384623E+07,670326.58,34000.37,1.187000E+07,84785.26
1670164316,63143.39,9.447764E+07,629848.86,8000.20,1.195000E+07,79666.40
1670164326,118353.00,9.566119E+07,597880.14,14999.84,1.210000E+07,75624.71
1670164336,0.00,9.566119E+07,562710.49,0.00,1.210000E+07,71176.17
1670164346,609068.32,1.017518E+08,565285.89,77000.75,1.287000E+07,71499.75
1670164356,419809.75,1.059497E+08,557629.64,53002.64,1.340000E+07,70526.27
1670164366,197328.55,1.079230E+08,539614.20,24999.42,1.365000E+07,68249.88
1670164376,205809.90,1.099812E+08,523718.35,25999.26,1.391000E+07,66237.89
1670164386,39760.11,1.103788E+08,501719.85,4999.89,1.396000E+07,63454.30
1670164396,15883.66,1.105376E+08,480596.06,1999.95,1.398000E+07,60782.31
1670164406,545563.61,1.159930E+08,483302.90,69003.30,1.467000E+07,61124.83
1670164416,47578.62,1.164688E+08,465874.06,6000.03,1.473000E+07,58919.86
1670164426,173406.66,1.182029E+08,454624.82,21998.94,1.495000E+07,57499.76
1670164436,134977.38,1.195527E+08,442786.19,17000.17,1.512000E+07,55999.79
1670164446,134142.64,1.208941E+08,431763.76,17000.83,1.529000E+07,54607.04
1670164456,925243.70,1.301466E+08,448780.47,116998.62,1.646000E+07,56758.50
1670164466,505801.42,1.352047E+08,450681.21,63998.50,1.710000E+07,56999.84
1670164476,127229.81,1.364770E+08,440247.57,16083.79,1.726083E+07,55680.00
1670164486,348202.24,1.399590E+08,437371.18,44000.32,1.770083E+07,55315.01
1670164496,197296.56,1.419320E+08,430096.07,24999.54,1.795083E+07,54396.35
1670164506,0.00,1.419320E+08,417446.49,0.00,1.795083E+07,52796.49
1670164516,118905.08,1.431211E+08,408916.61,14999.76,1.810083E+07,51716.57
1670164526,23557.23,1.433567E+08,398211.82,2999.89,1.813083E+07,50363.28
1670164536,0.00,1.433567E+08,387449.78,0.00,1.813083E+07,49002.17
1670164546,0.00,1.433567E+08,377253.28,0.00,1.813083E+07,47712.58
1670164556,0.00,1.433567E+08,367580.76,0.00,1.813083E+07,46489.26
1670164566,0.00,1.433567E+08,358391.35,0.00,1.813083E+07,45327.04
1670164576,7774.09,1.434344E+08,349839.38,999.96,1.814083E+07,44245.85

Summary:
loaded 143513974 metrics in 413.899sec with 100 workers (mean rate 346736.37 metrics/sec)
loaded 18150834 rows in 413.899sec with 100 workers (mean rate 43853.25 rows/sec)
