time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1670168755,5083.13,5.084800E+04,5083.13,999.67,1.000000E+04,999.67
1670168765,64971.80,7.006360E+05,35024.16,12998.60,1.400000E+05,6998.47
1670168775,415379.51,4.852708E+06,161755.79,83034.45,9.700000E+05,32333.11
1670168785,269573.39,7.550344E+06,188724.31,53961.92,1.510000E+06,37743.14
1670168795,260327.21,1.015179E+07,203034.76,52036.54,2.030000E+06,40599.80
1670168805,489887.38,1.505063E+07,250843.09,98000.60,3.010000E+06,50166.51
1670168815,154469.07,1.659560E+07,237073.26,30994.35,3.320000E+06,47427.21
1670168825,400352.76,2.059845E+07,257479.64,80013.66,4.120000E+06,51499.81
1670168835,424627.82,2.484857E+07,276066.55,84923.09,4.970000E+06,55216.48
1670168845,215070.76,2.700265E+07,269958.94,42932.76,5.400000E+06,53986.49
1670168855,425719.50,3.124944E+07,284084.32,85208.22,6.250000E+06,56817.88
1670168865,379461.43,3.505062E+07,292044.98,75868.65,7.010000E+06,58407.96
1670168875,395709.58,3.900069E+07,300005.01,79140.63,7.800000E+06,59999.94
1670168885,205080.61,4.105154E+07,293224.57,40999.16,8.210000E+06,58642.72
1670168895,493864.71,4.599748E+07,306619.00,98853.86,9.200000E+06,61327.15
1670168905,230777.26,4.830252E+07,301884.62,46054.69,9.660000E+06,60373.78
1670168915,419482.57,5.249903E+07,308804.63,83966.25,1.050000E+07,61762.07
1670168925,330243.34,5.579925E+07,309994.87,66044.26,1.116000E+07,61999.81
1670168935,350490.34,5.930399E+07,312126.11,70003.18,1.186000E+07,62421.02
1670168945,323894.46,6.254480E+07,312714.85,64962.63,1.251000E+07,62548.17
1670168955,370357.87,6.624660E+07,315458.42,74035.56,1.325000E+07,63094.92
1670168965,475294.13,7.100025E+07,322724.68,94985.88,1.420000E+07,64544.71
1670168975,324650.96,7.425221E+07,322808.56,64891.06,1.485000E+07,64559.79
1670168985,370585.84,7.795434E+07,324797.20,74074.57,1.559000E+07,64955.83
1670168995,399625.89,8.195460E+07,327793.12,79919.90,1.639000E+07,65554.94
1670169005,415523.46,8.610184E+07,331160.87,83159.92,1.722000E+07,66230.76

Summary:
loaded 90756802 metrics in 268.740sec with 100 workers (mean rate 337712.80 metrics/sec)
loaded 18150834 rows in 268.740sec with 100 workers (mean rate 67540.60 rows/sec)
